custid,retained,created,firstorder,lastorder,esent,eopenrate,eclickrate,avgorder,ordfreq,paperless,refill,doorstep,favday,city
GYH5AF,1,1/17/2007,6/27/2008,6/27/2008,47,2.127659574,0,73.07,0,0,0,0,Friday,CHO
4QRWVB,1,8/16/2006,4/25/2007,10/22/2007,18,0,0,50.87,0.072222222,0,0,0,Wednesday,CHO
VMYYX9,0,1/22/2006,2/28/2006,10/10/2006,0,0,0,35.09,0.09375,0,0,0,Monday,CHO
CF5K35,1,2/2/2007,2/2/2007,3/26/2007,42,38.0952381,0,85.37,0.076923077,0,0,0,Monday,CHO
XQK2CK,0,12/7/2006,12/7/2006,12/7/2006,0,0,0,60.3,0,0,0,0,Thursday,CHO
FM7VFL,1,10/4/2005,10/15/2005,10/17/2007,44,25,11.36363636,117.32,0.032786885,1,0,0,Friday,CHO
7PEMUD,1,11/29/2005,11/29/2005,11/12/2008,47,0,0,105.45,0.003707136,0,0,0,Tuesday,CHO
A3XBE,1,4/10/2007,4/10/2007,7/28/2008,45,6.666666667,2.222222222,165.23,0.010526316,1,0,0,Monday,RIC
EQSD5E,1,10/6/2004,12/20/2005,12/20/2005,45,6.666666667,0,52.4,0,0,0,0,Tuesday,CHO
CT3NDS,1,3/22/2007,3/22/2007,1/2/2010,39,87.17948718,12.82051282,30.48,0.015732547,0,0,0,Tuesday,RIC
C6HVXN,1,4/15/2006,4/19/2008,4/19/2008,16,0,0,33.57,0,0,0,0,Thursday,CHO
ARP342,0,4/30/2006,5/8/2007,5/8/2007,0,0,0,83.04,0,0,0,0,Monday,CHO
7PALQK,0,4/14/2006,4/13/2007,7/27/2007,0,0,0,54.82,0.076190476,0,0,0,Thursday,CHO
S5DZ4Y,1,7/11/2006,7/25/2006,11/13/2007,47,2.127659574,0,20.54,0.008403361,0,0,0,Monday,CHO
Z7QFN7,1,4/29/2005,5/6/2005,5/6/2005,16,0,0,53.36,0,0,0,0,Friday,CHO
TGYGPC,1,1/8/2007,1/31/2007,7/18/2008,42,16.66666667,2.380952381,27.74,0.005617978,0,0,0,Friday,RIC
DVRYSK,0,4/5/2007,4/5/2007,4/5/2007,0,0,0,25,0,0,0,0,Thursday,CHO
HTJNCB,1,10/10/2006,10/10/2006,1/11/2007,39,35.8974359,0,130.51,0.021505376,0,0,0,Tuesday,CHO
3VCXN,0,4/9/2007,4/30/2007,5/12/2008,0,0,0,141.97,0.015873016,0,0,0,Monday,CHO
SGU3PB,0,3/30/2006,9/11/2006,10/11/2007,0,0,0,47.5,0.010126582,1,0,0,Thursday,CHO
PXXTWN,0,5/2/2006,7/4/2006,11/10/2006,0,0,0,111.86,0.054263566,0,0,0,Tuesday,CHO
U9ZQQP,1,11/30/2006,6/11/2007,7/21/2009,46,19.56521739,10.86956522,29.73,0.006485084,1,0,0,Tuesday,DCX
M87HQT,0,9/2/2006,9/23/2006,3/16/2007,0,0,0,109.16,0.022988506,0,0,0,Monday,CHO
564EL5,0,6/18/2006,6/29/2006,6/29/2006,0,0,0,27.6,0,0,0,0,Thursday,CHO
S7B2TP,1,9/5/2006,8/20/2007,8/20/2007,38,28.94736842,18.42105263,54.62,0,0,0,0,Friday,RIC
PA38W9,0,9/20/2006,3/9/2007,3/9/2007,0,0,0,37.2,0,0,0,0,Thursday,RIC
5DDKKP,1,11/12/2005,11/12/2005,11/12/2005,40,22.5,0,139.88,0,0,0,0,Friday,CHO
BUMVQN,0,2/14/2006,2/21/2006,2/21/2006,0,0,0,57.3,0,0,0,0,Monday,CHO
ZPR8KQ,1,2/15/2005,9/19/2006,12/1/2009,52,3.846153846,1.923076923,59.35,0.020530368,1,0,0,Monday,CHO
EG43ET,1,2/20/2007,2/27/2007,2/19/2008,34,79.41176471,17.64705882,44.25,0.014005602,0,0,0,Monday,CHO
QKYBFL,1,8/22/2006,1/25/2007,3/30/2007,18,0,0,18.42,0.203125,0,0,0,Thursday,CHO
2NV3SY,1,1/24/2007,1/31/2007,1/31/2007,40,25,0,302.43,0,0,0,0,Thursday,RIC
YUA6VH,1,3/16/2007,5/4/2007,5/26/2007,47,2.127659574,0,50.79,0.272727273,0,0,0,Friday,RIC
ME8GM2,1,2/11/2006,10/3/2007,11/4/2009,37,5.405405405,5.405405405,57.22,0.00655308,1,0,0,Wednesday,CHO
ELJFL7,1,2/7/2007,2/7/2007,7/18/2007,41,21.95121951,14.63414634,72.66,0.01863354,0,0,0,Wednesday,CHO
37TL6Y,1,3/9/2007,5/12/2007,5/19/2007,16,0,0,71.96,0.285714286,0,0,0,Friday,RIC
VSDFDY,1,10/28/2005,10/28/2005,11/21/2005,16,0,0,37.81,0.083333333,0,0,0,Friday,CHO
XWM9F2,1,2/5/2007,7/1/2008,7/1/2008,42,23.80952381,0,16.14,0,0,0,0,Monday,RIC
248PRB,1,6/26/2006,8/30/2006,11/5/2009,45,22.22222222,8.888888889,104.22,0.012897678,0,0,0,Wednesday,DCX
EDHT4T,1,2/28/2007,3/12/2007,4/10/2007,42,23.80952381,0,86.73,0.103448276,0,0,0,Monday,CHO
2K94VS,1,8/24/2006,8/24/2006,8/24/2006,44,29.54545455,0,30.57,0,0,0,0,Friday,CHO
PBCL4J,0,7/13/2005,7/13/2005,7/13/2005,0,0,0,23.65,0,0,0,0,Tuesday,CHO
E3JPX3,0,9/11/2006,2/9/2007,2/16/2007,0,0,0,120.14,0.714285714,0,0,0,Thursday,CHO
5CLFNM,1,12/8/2006,12/21/2006,12/14/2009,46,6.52173913,0,70.32,0.019283747,0,0,0,Monday,CHO
S8J2KD,0,9/27/2006,10/18/2006,10/18/2006,0,0,0,57.76,0,0,0,0,Wednesday,CHO
SJKEYZ,1,8/26/2006,2/9/2007,7/30/2008,47,17.0212766,6.382978723,55.18,0.020484171,0,0,0,Wednesday,RIC
PCM3GS,1,10/5/2006,10/12/2006,12/10/2009,48,4.166666667,0,96.37,0.007792208,1,0,0,Monday,CHO
4YUT8B,0,2/22/2007,2/23/2007,2/23/2007,0,0,0,55.68,0,0,0,0,Friday,RIC
WYPLUJ,1,12/5/2005,12/5/2005,12/5/2005,16,0,0,20.2,0,0,0,0,Monday,CHO
6FR5QW,0,8/25/2005,8/25/2005,8/25/2005,0,0,0,29,0,0,0,0,Thursday,CHO
ETU955,1,3/1/2007,1/9/2010,1/18/2010,11,27.27272727,18.18181818,38.46,0.222222222,1,1,1,Monday,RIC
3WEGJ4,1,12/3/2004,1/18/2006,1/14/2010,22,4.545454545,4.545454545,36.48,0.009608785,0,0,0,Monday,CHO
HFLKGD,1,2/8/2006,3/11/2006,12/2/2006,18,0,0,51.3,0.045112782,0,0,0,Friday,CHO
CXU7AW,0,3/6/2007,3/7/2007,4/9/2007,0,0,0,171.7,0.060606061,0,0,0,Tuesday,RIC
Y4JALT,1,2/12/2007,8/3/2007,11/13/2007,34,64.70588235,2.941176471,93.96,0.019607843,0,0,0,Friday,RIC
6ZHF73,0,9/6/2006,1/24/2007,5/27/2009,0,0,0,67.95,0.018735363,0,0,0,Wednesday,CHO
UTLGDS,1,1/28/2006,10/21/2006,10/9/2009,47,2.127659574,0,110.02,0.04704797,0,0,0,Tuesday,CHO
F3ANT8,1,2/17/2007,5/11/2007,1/12/2008,47,0,0,37.35,0.016260163,0,0,0,Thursday,RIC
UH5A8N,0,12/9/2005,12/9/2005,2/4/2006,0,0,0,21.98,0.052631579,0,0,0,Friday,CHO
72EG38,0,5/1/2006,7/6/2007,7/26/2007,0,0,0,147.35,0.45,0,0,0,Friday,CHO
DEHQEB,0,1/12/2007,9/27/2007,2/5/2008,0,0,0,99.47,0.022900763,0,0,0,Wednesday,CHO
HU4SHX,0,11/8/2005,8/18/2006,11/16/2007,0,0,0,75.83,0.041758242,0,0,0,Friday,CHO
ZGNKU4,1,8/8/2006,12/5/2006,10/16/2007,32,87.5,6.25,27.77,0.025396825,0,0,0,Monday,RIC
9B2NQX,0,9/27/2006,9/28/2006,9/28/2006,0,0,0,83.85,0,0,0,0,Thursday,CHO
HSZGYK,1,1/20/2006,2/28/2006,5/2/2006,41,56.09756098,0,13.73,0.111111111,0,0,0,Monday,CHO
FVHPYJ,0,11/14/2005,3/28/2006,3/28/2006,2,50,0,31.04,0,0,0,0,Monday,CHO
SKUYV,1,4/21/2007,4/21/2007,1/18/2010,67,25.37313433,8.955223881,85.66,0.11665005,1,1,0,Monday,RIC
FCX4A7,1,1/28/2007,2/12/2007,1/15/2010,39,87.17948718,12.82051282,101.64,0.005617978,0,0,0,Monday,RIC
2CQ42Z,1,8/29/2006,6/16/2009,7/6/2009,47,0,0,44.94,0.2,0,0,0,Wednesday,CHO
9HRV46,1,1/17/2007,6/29/2009,6/29/2009,44,4.545454545,0,50.94,0,0,0,0,Monday,CHO
TNDHYE,1,3/21/2007,4/4/2007,5/2/2007,46,4.347826087,4.347826087,56.53,0.142857143,1,0,0,Wednesday,DCX
P4SHNX,1,3/26/2007,10/5/2009,10/5/2009,34,23.52941176,8.823529412,41,0,0,0,0,Thursday,RIC
,1,#N/A,#N/A,#N/A,47,0,0,121.11,0,0,0,0,Wednesday,CHO
XFM2UU,0,5/4/2006,12/2/2006,12/2/2006,0,0,0,129.76,0,0,0,0,Friday,CHO
FYKE6T,1,11/8/2006,1/10/2007,3/3/2009,45,4.444444444,0,46.46,0.039591315,0,0,0,Tuesday,RIC
9HNPDF,1,11/9/2005,11/16/2005,12/13/2005,16,0,0,49.8,0.111111111,0,0,0,Friday,CHO
3PMDNS,0,4/25/2006,11/22/2006,11/22/2006,0,0,0,28.37,0,0,0,0,Wednesday,CHO
QDTHZ3,0,8/26/2005,8/26/2005,8/26/2005,0,0,0,27.57,0,0,0,0,Tuesday,CHO
85JTA,1,4/21/2007,6/12/2007,5/19/2008,45,2.222222222,0,63.28,0.00877193,0,0,0,Monday,CHO
YACQB7,0,5/9/2007,5/14/2007,6/3/2009,1,0,0,87.01,0.083888149,0,0,0,Monday,CHO
UA88SV,1,7/1/2006,7/3/2007,8/31/2009,45,11.11111111,0,55.71,0.007594937,0,0,0,Thursday,CHO
M43V97,0,1/23/2007,1/23/2007,1/23/2007,0,0,0,30.63,0,0,0,0,Tuesday,CHO
BRZQNB,1,7/8/2006,4/11/2007,9/5/2009,38,28.94736842,0,28.7,0.089977221,1,0,0,Wednesday,DCX
6GK8ZP,0,5/29/2006,5/29/2006,5/29/2006,0,0,0,26.25,0,0,0,0,Monday,CHO
AXS66R,1,11/15/2006,4/21/2007,1/18/2010,72,30.55555556,0,80.06,0.175473579,0,1,0,Monday,RIC
C9S2QZ,1,8/6/2004,3/23/2006,1/13/2010,51,19.60784314,13.7254902,53.37,0.122126437,0,1,0,Wednesday,CHO
BTE8SJ,1,1/11/2007,5/20/2008,6/27/2008,43,6.976744186,6.976744186,52.63,0.078947368,1,0,0,Tuesday,CHO
6C69AH,0,4/14/2006,4/14/2006,4/14/2006,0,0,0,142.5,0,0,0,0,Friday,CHO
MFGEYU,0,3/6/2007,3/6/2007,5/16/2007,0,0,0,64.77,0.028169014,0,0,0,Thursday,RIC
SBJSTR,0,5/10/2007,6/10/2007,6/10/2007,0,0,0,53.95,0,0,0,0,Tuesday,CHO
4P69JL,0,2/9/2006,1/8/2007,10/6/2008,0,0,0,70.83,0.018838305,0,0,0,Monday,CHO
Y3Q9RE,0,10/19/2006,11/6/2006,11/6/2006,0,0,0,49.76,0,0,0,0,Friday,CHO
SH97N,0,3/21/2007,5/1/2007,6/12/2007,41,21.95121951,0,71.57,0.119047619,0,0,0,Monday,RIC
F8CALQ,1,10/3/2006,3/1/2007,3/1/2007,40,5,0,48.29,0,0,0,0,Thursday,CHO
AZ48MV,1,3/8/2007,4/6/2007,8/4/2007,39,7.692307692,2.564102564,105.92,0.033333333,0,0,0,Friday,CHO
VZSLYC,0,1/23/2007,4/6/2007,2/18/2009,0,0,0,180.43,0.043859649,1,0,0,Friday,CHO
9FT8PL,0,2/17/2007,3/26/2007,8/18/2009,0,0,0,151.63,0.057077626,1,0,0,Friday,CHO
6B6RCS,0,5/2/2007,5/2/2007,5/2/2007,0,0,0,47.16,0,0,0,0,Wednesday,CHO
AL2LGA,0,10/11/2006,1/31/2008,1/31/2008,0,0,0,52.62,0,0,0,0,Wednesday,RIC
7VK6PX,1,9/26/2006,10/10/2006,10/10/2006,41,14.63414634,2.43902439,41.29,0,0,0,0,Wednesday,CHO
FHKQJY,0,3/16/2006,3/16/2006,3/16/2006,28,21.42857143,0,30.09,0,0,0,0,Thursday,CHO
2WCFBU,0,8/24/2006,10/24/2007,11/14/2007,27,62.96296296,0,72.78,0.19047619,0,0,0,Wednesday,CHO
BWVPGQ,1,9/19/2006,4/16/2007,4/16/2007,46,4.347826087,2.173913043,103.83,0,1,0,0,Tuesday,CHO
X3299E,1,8/11/2006,1/6/2007,11/4/2009,48,10.41666667,8.333333333,132.43,0.052274927,1,0,0,Tuesday,CHO
KJ8J2C,0,4/11/2007,4/11/2007,4/11/2007,0,0,0,63.9,0,0,0,0,Tuesday,CHO
BJAPV3,0,1/23/2007,3/19/2007,9/25/2009,0,0,0,53.85,0.060803474,1,0,0,Friday,CHO
,0,#N/A,#N/A,#N/A,14,100,21.42857143,60.97,0,1,1,0,Tuesday,RIC
VJYRQ8,0,6/25/2005,1/20/2006,7/19/2006,0,0,0,48.81,0.244444444,0,0,0,Thursday,CHO
3ETY2H,0,3/5/2007,3/9/2007,3/9/2007,0,0,0,67.94,0,0,0,0,Thursday,RIC
BSC6KU,1,12/16/2005,5/15/2007,9/2/2008,45,0,0,71.56,0.004201681,0,0,0,Tuesday,CHO
ABHHAT,0,11/16/2006,11/16/2006,11/16/2006,0,0,0,49.83,0,0,0,0,Friday,CHO
RH5VGB,1,10/20/2006,3/24/2007,3/29/2008,18,0,0,40.97,0.016172507,0,0,0,Friday,RIC
ER99UJ,1,9/1/2006,11/6/2006,10/20/2009,53,3.773584906,1.886792453,85.39,0.014828545,0,0,0,Monday,CHO
86SLAH,1,8/26/2006,11/14/2007,11/14/2007,38,39.47368421,15.78947368,52.15,0,0,0,0,Thursday,RIC
TJJPG,1,4/23/2007,5/3/2007,6/25/2009,31,100,19.35483871,103.97,0.047193878,1,0,0,Thursday,CHO
GCXDYV,0,1/22/2007,3/28/2007,5/15/2007,0,0,0,35.82,0.333333333,0,0,0,Tuesday,RIC
8REF6A,0,9/1/2006,9/14/2006,10/12/2006,0,0,0,33.81,0.178571429,0,0,0,Thursday,RIC
JD489B,1,1/24/2007,1/31/2007,1/31/2007,36,58.33333333,0,30.36,0,0,0,0,Wednesday,RIC
Y6C6NW,1,9/17/2006,9/19/2006,8/23/2008,32,93.75,0,74.45,0.009943182,0,0,0,Monday,CHO
UDKBWA,1,3/5/2007,4/5/2007,1/18/2010,60,30,8.333333333,147.77,0.122669284,0,0,1,Friday,RIC
Z3M84Z,0,7/20/2004,8/18/2004,4/6/2005,0,0,0,16.09,0.034632035,0,0,0,Tuesday,CHO
JJH6BE,0,11/23/2005,10/21/2006,1/12/2010,13,100,46.15384615,74.59,0.039864292,1,1,0,Friday,CHO
FEUEP6,1,8/21/2006,8/21/2006,6/16/2009,47,4.255319149,4.255319149,48.01,0.006796117,0,0,0,Monday,CHO
CGUZKY,1,8/31/2006,4/30/2007,6/16/2009,48,2.083333333,0,228.24,0.075835476,0,0,0,Monday,CHO
S6MWEQ,1,3/22/2006,4/26/2006,11/5/2009,48,16.66666667,10.41666667,49.81,0.010861133,0,0,0,Friday,CHO
646VZ8,1,2/23/2007,4/23/2007,4/29/2007,16,0,0,79.25,0.333333333,0,0,0,Monday,CHO
BCERB3,1,12/26/2005,3/4/2006,7/12/2007,45,8.888888889,2.222222222,50.49,0.074747475,0,0,0,Friday,CHO
3EEP8A,1,2/2/2007,2/9/2007,5/21/2007,16,0,0,51.31,0.01980198,0,0,0,Wednesday,RIC
3F2G9G,1,2/13/2007,2/13/2007,2/13/2007,45,0,0,41.81,0,0,0,0,Monday,CHO
2Z2YX3,1,10/26/2006,11/14/2006,1/15/2010,47,31.91489362,4.255319149,34.51,0.008635579,0,0,0,Wednesday,RIC
SHVHNF,1,9/8/2005,3/17/2006,10/24/2008,46,13.04347826,0,48.65,0.022058824,0,0,0,Friday,CHO
ESAZ2K,0,3/5/2007,4/28/2007,9/7/2008,0,0,0,59.7,0.108433735,1,0,0,Monday,RIC
FWCQ9Y,1,5/5/2005,2/21/2007,11/4/2009,44,45.45454545,11.36363636,54.35,0.051671733,0,0,0,Tuesday,CHO
GZVBPC,1,7/21/2006,9/1/2009,12/29/2009,41,29.26829268,4.87804878,50.46,0.016806723,1,0,0,Tuesday,RIC
42D2Z3,1,1/10/2006,1/10/2006,1/10/2006,45,6.666666667,2.222222222,25.93,0,0,0,0,Tuesday,CHO
4A6UZV,1,1/16/2007,1/31/2007,3/1/2007,16,0,0,57.74,0.068965517,0,0,0,Wednesday,RIC
RLV55D,1,4/7/2007,4/10/2007,4/10/2007,44,6.818181818,0,200.24,0,0,0,0,Wednesday,RIC
TRAJBC,0,5/9/2007,5/22/2007,5/22/2007,14,14.28571429,0,49.97,0,0,0,0,Monday,CHO
6ERUQ9,1,1/4/2005,4/15/2005,6/11/2007,37,70.27027027,0,40.66,0.005082592,0,0,0,Thursday,CHO
QQNM35,0,12/10/2005,12/20/2005,6/14/2009,0,0,0,168.93,0.011792453,1,0,0,Monday,CHO
K2D4ZQ,0,7/8/2006,7/5/2007,7/5/2007,0,0,0,50.73,0,0,0,0,Wednesday,CHO
ZUN4CF,1,10/15/2006,10/15/2006,12/16/2009,52,17.30769231,5.769230769,90.59,0.015544041,1,0,0,Monday,RIC
HA7L95,1,8/31/2006,11/22/2006,11/25/2009,51,1.960784314,0,63.53,0.020018198,0,0,0,Wednesday,CHO
2DHFAA,1,10/23/2006,1/12/2007,10/2/2009,46,0,0,149.33,0.02917505,1,0,0,Thursday,CHO
39CMML,1,11/1/2006,12/25/2006,1/18/2007,42,14.28571429,2.380952381,99.97,0.208333333,0,0,0,Tuesday,CHO
6BMRPY,1,1/17/2007,4/4/2007,11/4/2009,47,10.63829787,0,115.96,0.037037037,1,0,0,Monday,CHO
H4WLGH,0,4/6/2007,4/11/2007,4/11/2007,0,0,0,27.98,0,0,0,0,Friday,RIC
NHKUWG,0,9/18/2006,9/25/2006,9/25/2006,0,0,0,113.96,0,0,0,0,Tuesday,CHO
